case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
2696,1,PA6.6-GF40,Automovel,41000,3,0,12,2014-12-10 08:08:10,2014-12-10 09:29:18,Torno,User 51
2696,1,PA6.6-GF40,Automovel,41000,3,0,12,2015-01-05 08:15:26,2015-01-05 09:46:08,Retificacao,User 65
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2014-12-10 08:10:33,2014-12-10 20:36:27,Fresagem,User 72
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2014-12-11 08:37:42,2014-12-11 11:58:04,Desenho Eletrodos,User 52
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2014-12-11 13:33:56,2014-12-11 14:16:30,Fresagem,User 72
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2014-12-16 07:45:04,2014-12-16 20:55:37,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2014-12-17 17:45:21,2014-12-18 09:43:05,Retificacao,User 37
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2014-12-20 08:46:36,2014-12-21 09:22:16,CAM,User 52
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-01-06 06:48:47,2015-01-08 09:18:15,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-01-07 15:18:42,2015-01-10 02:07:45,Erosao,User 40
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-01-12 18:03:07,2015-01-15 10:35:47,Polimento,User 85
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-01-30 10:56:00,2015-02-02 04:59:02,Erosao,User 40
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-02-06 09:25:39,2015-02-06 09:58:35,Fresagem,User 71
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-04-06 20:47:23,2015-04-06 21:10:53,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-04-10 11:02:00,2015-04-13 06:55:59,Erosao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,81,2015-06-08 11:30:43,2015-06-11 08:02:15,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,62,2014-12-10 15:15:55,2014-12-10 17:44:38,Retificacao,User 65
